"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"GPR174",255.680275664248,3.77279776411297,0.217878008185417,2.5836714369916e-68,1.1678194895202e-65,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"GNLY",363.46063812083,3.37520662771076,0.196764433828448,3.04059199659817e-67,1.34082690971939e-64,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"UBASH3A",126.507582064554,3.4752935640295,0.203043436911052,9.33674354462586e-67,4.0192457925437e-64,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TAF5LP1",57.1991222910929,2.99730547733745,0.175344634650494,1.38723953928677e-66,5.83285834193136e-64,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"ZAP70",337.79031924795,3.314534372205,0.194683607929515,3.38732048362441e-66,1.39188078054385e-63,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"ZNF683",228.28996856817,3.71027608206866,0.218081364758788,4.06434310416216e-66,1.63296274051671e-63,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SCML4",125.853925065561,3.89184639903664,0.228971016693497,7.000881361439e-66,2.75165076119168e-63,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LINC02446",76.0634724325588,4.76365639171545,0.281621434969468,1.13862314898333e-65,4.38006521991886e-63,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SAMD3",76.4276249584805,3.24519690137544,0.191783949177533,3.01002565197037e-65,1.13377632890884e-62,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SLAMF7",1585.71286652964,3.70816504981465,0.220476169378212,9.07819563719714e-65,3.34966892082702e-62,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"GZMH",166.912636236807,3.76473858071934,0.223723277861578,9.87101872993776e-65,3.5693603727455e-62,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"GZMM",80.1044423791804,3.38113329563088,0.203408862281969,2.4777188693727e-63,8.78375630554085e-61,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"GFI1",129.16727687924,2.92906864159613,0.176080317205674,2.88187660507298e-63,1.0020063273023e-60,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"PLA2G2D",509.241877113478,5.73073406715777,0.345942255786305,7.2398699836551e-63,2.46975187366951e-60,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"C16orf54",226.705339996647,2.86604053983918,0.17376739322473,2.81109581824592e-62,9.41196525812708e-60,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"BTLA",94.9702784135189,3.91136320583945,0.237750213512914,6.95626456268382e-62,2.28671387806043e-59,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"PTPN7",651.072431854835,2.73329366177474,0.166447616915371,1.17702280946235e-61,3.800102213407e-59,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"ZNF831",140.40275519889,3.71486343434221,0.226502957676824,1.66500112713573e-61,5.10224074213798e-59,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD7",299.482650889793,2.83534808695029,0.17306076400989,1.66450101038691e-61,5.10224074213798e-59,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TIGIT",513.45855694827,3.54836133122026,0.216594980753031,1.61533194145117e-61,5.10224074213798e-59,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV13-1",27.1549157025906,3.73406422139342,0.227377718440803,1.70682530185411e-61,5.14323357625372e-59,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"PDCD1",143.095946333843,3.58310891745508,0.219086895589964,1.82210689138574e-61,5.40060534364821e-59,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TESPA1",189.838801609504,2.87910824315543,0.181743888299644,1.10171567372669e-57,3.21274506144817e-55,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD6",601.927877813276,2.8695326978515,0.181689754723325,1.95616688394291e-57,5.61388845423617e-55,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LINC01871",20.648631139199,3.776544323581,0.239395086495051,2.91777339170871e-57,8.24270983157709e-55,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CCR7",407.237027735312,3.18808448721567,0.202103545325491,3.03530861773373e-57,8.44282766286553e-55,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"XCL2",37.1949458020992,3.60093944905581,0.22941381354391,4.3494012147998e-57,1.19147233278152e-54,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"XCL1",43.463342600228,3.17653128698322,0.202839554439116,1.17545681822276e-56,3.17197899603994e-54,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"FASLG",104.035807302825,3.65568623235274,0.233418041584597,1.92019630665461e-56,5.10546312122284e-54,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"FCRL3",151.030418404434,4.26943575379395,0.272942602170016,2.76808917648987e-56,7.25319598709231e-54,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IL18RAP",48.3031421923822,3.36941148590116,0.215300633350116,3.3605357845504e-56,8.67978385495302e-54,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"ICAM3",67.1273037821681,3.12249819279693,0.20032072826485,6.70674127744914e-56,1.70785749713071e-53,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"S1PR4",103.744772285775,2.75552456806172,0.177310888940585,1.09751357980896e-55,2.7559785448536e-53,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV27",25.3183014007429,3.93027970319843,0.253453498792296,1.44018260978475e-55,3.56691802532991e-53,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"PRKCB",513.634248200871,3.17400815488237,0.20446952323494,1.59515123957919e-55,3.89734248805293e-53,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD40LG",80.0882218049938,3.5100488904683,0.226579634682659,3.02440862993222e-55,7.2908410705566e-53,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV19",46.4891086658343,3.67476019303071,0.238365499647256,1.10615559306279e-54,2.63148593718096e-52,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LINC00861",115.869998025535,3.64226260539913,0.236583637406291,1.39812546092198e-54,3.28287121213889e-52,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LINC00426",67.429640835641,3.19277037901642,0.208001274185143,2.69626227858099e-54,6.24979769189031e-52,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV7-9",35.2381197509526,4.03549320762283,0.264794787877565,2.15800552003106e-53,4.93882782305843e-51,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV12-3",18.0471257121674,3.88805375849028,0.254811015564324,2.89879041944672e-53,6.55126634794958e-51,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CCR5",937.347066155306,2.85032738493921,0.18768226434297,3.45732945939468e-53,7.71710081800688e-51,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
