"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"FCRL3",226.094583190014,5.03803367105463,0.41357189176462,3.39468223647468e-35,1.52947408164367e-32,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"PLA2G2D",949.54104058631,5.75161071055514,0.477305680644695,1.11525308461623e-34,4.902217339257e-32,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"FCRL6",90.8783783188356,3.32503644356211,0.275351586205249,1.24409676042045e-34,5.33835995626128e-32,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD27",323.58592283798,3.90865462969093,0.326407381977216,2.81253337141166e-34,1.1787785213856e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"UBASH3A",182.553871933445,3.7614531502197,0.314063153804405,2.94628101528122e-34,1.20676991948632e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ZBED2",137.616244820745,4.09858208351372,0.342681344939931,4.41640076079503e-34,1.76871943357884e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TESPA1",236.546856963511,3.49893849877489,0.292860432771237,4.7084694659063e-34,1.84469645031659e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV29-1",37.6690497640374,4.00489914223583,0.33871749503841,1.51660785656403e-33,5.81538442361637e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV20-1",90.1547968235654,4.03352515034962,0.34054985767763,1.75699422995098e-33,6.59678125253677e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD8B",293.775916279632,3.99783829148611,0.338184526324579,1.81542631149625e-33,6.67706387465009e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SELL",1305.15533636474,3.65847968162572,0.310057648654196,2.42844828987639e-33,8.75309901603045e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"PDCD1",209.176635082878,3.65911627313322,0.310488676743391,2.5971776731531e-33,9.17771294618925e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ZNF683",300.042375650379,3.5411796626221,0.300583293546194,2.8080396807576e-33,9.73201752434874e-31,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"GPR174",331.814294239546,3.91182188533872,0.332339829185692,3.94152349128107e-33,1.34026672377109e-30,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAT1",155.530093995802,4.4242144324372,0.375915640937398,5.29680542655794e-33,1.76775976661902e-30,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TMC8",917.744756378169,2.67093972606872,0.227913575929352,6.40835033468637e-33,2.09984163148578e-30,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD52",1307.89999459374,3.32582879720678,0.285212867115121,1.28984113445065e-32,4.15098516519101e-30,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ICAM3",111.323279674955,3.56667063320248,0.307477235648057,2.92299068292669e-32,9.24177861187805e-30,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD7",596.214615280492,3.71967426457552,0.321463426485169,3.23958008782005e-32,1.00661573004643e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"MS4A1",758.325541899928,5.85127198492036,0.506034381665359,3.65505255025671e-32,1.11646367899536e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD6",903.918051482068,3.02334598750379,0.261793074346664,4.45248955655866e-32,1.33737944647167e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"HLA-DOB",141.258677103335,3.12773787793544,0.271114823425799,4.67873833662469e-32,1.38229872627295e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV12-3",29.6113057073642,4.10988482488383,0.353173648486826,6.77720658674184e-32,1.96998092106873e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"LINC01215",37.619729829741,5.02455364564381,0.43422078291589,7.0528387215206e-32,2.0175596736388e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SLAMF1",313.487768481664,3.70907635716434,0.322768387431324,1.46866182657225e-31,4.13565991226329e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"THEMIS",189.064174732676,4.15047352852885,0.362484898280682,1.79775160841397e-31,4.98447376720564e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"APOBEC3H",57.9481284159685,2.68226876158388,0.234406019522402,1.99567728765471e-31,5.4494084966838e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TBX21",130.386326124637,3.77732159154897,0.331097435143671,2.44895796748726e-31,6.58733141642619e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"GIMAP7",760.519065726011,2.45385160196468,0.214896727003688,2.6609597889279e-31,7.05232607589098e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV17",22.9685896230677,4.10080096438828,0.357666787337139,3.79436525202761e-31,9.91044211189009e-29,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBC1",1028.30813673698,3.85298600175424,0.339444230614967,4.22695296794796e-31,1.0882592341194e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD244",73.8206411819762,2.9037600342667,0.255733253398558,4.6590593009383e-31,1.18261361579592e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD48",533.641585554686,3.17258053133804,0.279480470721942,4.91017678556927e-31,1.22904452818791e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CLEC10A",317.781141737991,4.29422625678317,0.379350468218676,5.44120922274509e-31,1.34330784400427e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"BLK",97.3746360379922,5.21960141266397,0.4617298775047,6.27587470857305e-31,1.52842991889059e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"IKZF1",1366.0984197606,2.7119042900757,0.239771966344343,7.123218753352e-31,1.71166197830546e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SNX20",667.464982298479,2.61659376850641,0.231722604011158,1.14910075848895e-30,2.72488077230103e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CCL5",4062.50245503126,3.36051169157304,0.298326407665817,1.20380528890951e-30,2.81752972944509e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"PRKCB",738.444410966657,3.65730368349782,0.324858450803406,1.26584076045115e-30,2.92474130575008e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD37",1425.98253694035,2.36167135350979,0.210465981100567,2.17787552743823e-30,4.96831300702428e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SIT1",271.678469038857,3.74264931663676,0.334326615803671,2.56394499785039e-30,5.77592709390747e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD3D",644.780304820594,3.63798072636195,0.326066797076601,3.75889720542481e-30,8.36331425137851e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ARHGAP25",1015.9460351367,2.12989237615288,0.190584252317854,3.95900248701921e-30,8.70111497817808e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"MAP4K1",499.075848667055,2.88212365027736,0.258518604526779,4.36522406919986e-30,9.4783214668819e-28,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CTLA4",194.155381448478,3.02483115812659,0.271160294080649,4.69124661908018e-30,1.00649579248885e-27,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV7-9",47.6122715823902,3.95255677740217,0.354534748273494,8.47711924565112e-30,1.79734874170735e-27,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"IFNG",40.6412783692081,4.45981392851906,0.399143301480147,8.62836393985174e-30,1.80814389446521e-27,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TOX2",178.676190986666,2.27260376215721,0.205256260004291,1.11737868335499e-29,2.3146435208533e-27,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TIFAB",99.1909541432685,4.43685867617489,0.399931340362232,1.30309214118948e-29,2.66867347369509e-27,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SLAMF7",2287.37404335922,3.57941761785887,0.32572801475554,2.35427912234813e-29,4.76728295988292e-27,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SH2D2A",319.818411644948,2.71572325276549,0.249914857959943,1.01409821233375e-28,2.00836021787681e-26,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"BIN2",846.109154277847,2.62872396758901,0.241418019505981,1.01152783951917e-28,2.00836021787681e-26,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SPOCK2",2493.92432637861,2.85267531034995,0.263318822692088,1.50705113910751e-28,2.95218213358646e-26,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ARHGAP9",562.768492965034,2.63331443528117,0.243585070546993,2.27951743341855e-28,4.41736163280314e-26,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"XCL2",59.0146160828857,3.9400206756125,0.365345109448089,4.37108907547191e-28,8.38040077852711e-26,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"NLRC3",434.346351273273,2.1420134797321,0.199274147854306,4.77215705351088e-28,9.05303309667085e-26,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SPIB",172.545273140172,4.89939470747855,0.458037159064223,5.74606382926779e-28,1.07870377428192e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD19",225.45094098106,5.17256929128775,0.483231451323409,5.90394775008836e-28,1.09691697270198e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"LINC02273",37.4362742273551,4.26560578259414,0.397982115966023,6.70853238965805e-28,1.23368541557569e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV4",20.3481464637263,3.37224751583255,0.315301696149881,1.08413121210076e-27,1.97355683883635e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TNFRSF8",128.44752147148,3.04495788815405,0.286258744038011,1.17151373103558e-27,2.11130204607232e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"GNLY",765.076692064848,4.06862561792771,0.38410658301579,1.77030161959943e-27,3.15884908796246e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD38",686.646839262224,4.05055099762178,0.382230463402975,1.8549411604582e-27,3.27742643076252e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"HSD11B1",229.38537995406,3.37238515150082,0.31856166769069,2.09617865577391e-27,3.66770211013179e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"GVINP1",379.136601462093,3.19083025158085,0.303052957555988,4.41579743367621e-27,7.65206743747237e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"GRAP2",275.615442927146,2.80168419212823,0.266649288248372,5.57044814796329e-27,9.56101109738994e-25,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"GZMM",183.179366066632,3.82435586546111,0.365323663925457,6.02298072305935e-27,1.02402036406581e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ADGRG5",193.769935551788,3.84857364367548,0.367107770737126,6.37996458315073e-27,1.07457683848171e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ABCD2",81.4173221693544,3.27664645010806,0.312681689517643,7.54703934897531e-27,1.25937725136327e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TCL1A",152.877721455104,6.9333912466317,0.665398680070967,8.6960485029212e-27,1.4377998726573e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"IL18BP",1001.75972971001,2.17750452774006,0.207783836566029,9.94310374211088e-27,1.61436590666957e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"JAML",696.403943603936,3.0617891242859,0.293290414909511,9.92240841649127e-27,1.61436590666957e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV7-2",74.4275965291329,3.85323602292147,0.369636299984155,1.31285040646809e-26,2.11251696655071e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV6-5",31.2127364980786,3.65250551796686,0.351688670189584,1.50003532972794e-26,2.39235723118204e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CXCR6",430.703812878739,3.09721722905178,0.297712786181519,1.60694249961045e-26,2.54037874806838e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ZNF831",189.521401902081,3.85454383389546,0.372482459852661,2.43386183966604e-26,3.81417896299664e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CRTAM",136.6818251195,3.2258517988883,0.31089190990886,3.38332580100505e-26,5.25640496428561e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"HLA-DRA",53563.425072048,2.14923110836504,0.208037611542028,4.40183906839196e-26,6.78033706756922e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"FCRLA",179.86789943037,4.62092053142013,0.449423346088118,4.91265794379627e-26,7.50304419178782e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"GZMH",237.476061891359,3.57795155669498,0.349498506081762,4.98866105665628e-26,7.55509660193777e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CCL19",1543.98175451454,5.15675808737895,0.502021541336178,5.08539259936408e-26,7.63741211881162e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"STAT4",196.858755178079,2.30597677194176,0.223979969590221,5.51069597736175e-26,8.2077490003317e-24,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"AKNA",2338.86707721539,1.76531259118832,0.171545857326957,8.0180425186318e-26,1.18443575631789e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV6-1",21.2031640656095,4.12661828303768,0.400621743589407,9.92276704424726e-26,1.45388705423922e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRDV1",22.8337862559938,4.36346719568281,0.424909881073692,1.03991245692171e-25,1.51139534666476e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CXCL9",12929.2451315639,3.91076473437978,0.383156271537306,1.17944156381876e-25,1.70047166905133e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"LINC02446",95.9249072115713,4.16908561922688,0.408536702910628,1.26604106385548e-25,1.81084063911138e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ICOS",197.026593375431,3.15705038496854,0.309376619627918,1.34670284276315e-25,1.91104556159665e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"PIK3CD",1137.73392260903,2.00941644354061,0.196517696403753,1.37414396931412e-25,1.93475176679524e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD79A",1805.76568118276,4.9874770499735,0.490695992834012,1.56064916970625e-25,2.18031157646868e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"IPCEF1",156.247853755686,2.70061740047216,0.265192321103963,1.68311406194561e-25,2.33331397110644e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
