"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"MIR155HG",74.6310792338384,1.96415998988209,0.141401769774295,6.51967066244127e-45,2.26731282825438e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV1-2",1377.03591559522,3.05757085364041,0.267570400797831,6.66228944579956e-45,2.31245504244685e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TFEC",467.556372944024,1.49522873812231,0.107451281599329,7.13367412210031e-45,2.47131831535103e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGKV3D-15",97.0642625195206,3.91859436316557,0.253542745972356,1.0148667283834e-44,3.50906696946205e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"HNRNPA1P21",73.4171894305997,2.15295991276814,0.15558932081703,1.11442985342258e-44,3.84595495686885e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV5-51",2008.87329313272,3.47466875068709,0.251754246095193,1.32893177133762e-44,4.57745983604441e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"P2RY14",120.519364310382,1.52148594595711,0.109900635459858,1.39309169541924e-44,4.78931657345179e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SENCR",28.2056753356501,1.38973775842152,0.100684883072926,2.12059670619743e-44,7.26274192602608e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IL21R",258.073964617981,1.83711551043841,0.133007465483154,2.2562462962808e-44,7.7126873866614e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ADGRE5",1606.24685700841,1.29267578609756,0.0933140839529757,2.49584541741563e-44,8.51559809809729e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"HLA-DQA1",8984.51899125539,1.67066293272455,0.121081295561901,2.56297628979814e-44,8.72814321784277e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"C1QC",5765.86519652672,1.34430846857061,0.0970425664404633,2.73526098053067e-44,9.29731175849304e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TNFSF8",201.224221236613,1.65854182654377,0.120354206509672,2.8876152112763e-44,9.79672311058757e-43,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV3-30",894.749964865537,3.17258288847358,0.230749370177394,3.13208892781632e-44,1.06062050765773e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV4-39",2025.08293166331,4.13149902546783,0.260591796984438,3.73195705322899e-44,1.26138750662416e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CR1",122.705532200046,2.72543255731123,0.198587750793528,4.48456154955627e-44,1.51293180201759e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"S1PR1",1689.42879496818,1.38766128842198,0.100700328945667,4.61184096574964e-44,1.55296861176894e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD74",131364.01859406,1.41151942675688,0.103402306184522,5.17536951952101e-44,1.73948313701741e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CEACAM4",12.7111124373619,1.99003452637973,0.145610701926099,8.35091698582868e-44,2.80159294939074e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGLL5",49.5826289747093,3.06019143652077,0.223707749542234,8.4513378936575e-44,2.83002221971473e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LSP1",3202.37488417446,1.35411170231579,0.0988946873547628,1.24918289454415e-43,4.16756045538399e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TASL",192.727884347525,1.44308852571499,0.105272294689332,1.26880171853594e-43,4.2252033612279e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TXK",51.2662963113536,2.10739109950224,0.154677634432965,1.79887381220694e-43,5.97935054079613e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"PIM2",1602.36790276055,1.31121952919502,0.0958429947543171,2.5455030553599e-43,8.44554864819683e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LYN",1604.66548080243,1.02756023218891,0.0747715194414857,2.85333449334874e-43,9.44951087531217e-42,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV6-1",339.290487316178,3.1664807102057,0.233161671557284,3.12877685197205e-43,1.03427277291655e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"EPSTI1",1178.76464944946,1.42939281795652,0.105116341816115,4.02709790153864e-43,1.32879506444005e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV4-34",497.67900968457,3.05144454906164,0.225212718027184,5.04913077377932e-43,1.6629883455464e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"PECAM1",10803.327765401,1.06966077330118,0.0780098649257268,5.2392282067926e-43,1.72245591811293e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ASGR2",28.9892268162614,1.44986027905434,0.106895096895896,5.55678932118657e-43,1.82353619014721e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IL15",205.360254217897,1.18797039095813,0.0874608131387596,7.9825076932581e-43,2.61481454365908e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV1-18",1522.07146089186,3.30899875455431,0.245045138233126,9.83099815890747e-43,3.21448706105292e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV3-12",16.331807486632,4.187542416336,0.272844794832584,1.07678692837134e-42,3.51445339424489e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV2-8",615.298301796872,2.94131803386807,0.218033269008153,1.13214068264413e-42,3.68844894964693e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"FAM110D",202.165007424691,1.77996898140955,0.131661785322308,1.14022219961484e-42,3.70808477132399e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SPNS3",50.290767664255,1.81596475435823,0.134471033989718,1.14372360098804e-42,3.71278188385487e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TOX2",171.181588262973,1.6259042980193,0.120258490848269,1.1733988226543e-42,3.80227564633526e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CLEC1A",170.428182875238,1.19505505768277,0.0881925343454236,1.56005908615318e-42,5.04614810859834e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"RNF166",640.532409919628,1.08279973689491,0.0796737606032347,1.58913171233986e-42,5.13099074705226e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TAP2",1354.17773627413,1.1722537937886,0.086583635655925,1.66103158034687e-42,5.35356410601439e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
