"gene","n_subtypes","subtypes_list","mean_lfc"
"FSIP2",1,"Basal",-2.05882861672309
"NEFH",1,"Normal",-2.05728649205436
"HAS1",1,"Basal",-2.05568723131989
"NKAIN4",1,"Basal",-2.05562717102563
"MALAT1",1,"LumA",-2.05235201052942
"NKX3-2",1,"Basal",-2.04485403010753
"SNAP25",1,"LumA",-2.04350046073465
"SP5",1,"Her2",-2.03035888438676
"HMGCS2",1,"LumB",-2.02666245032231
"EPHA3",1,"Basal",-2.02193469140844
"EPHA8",1,"Basal",-2.02135788499941
"CES3",1,"Normal",-2.00469712379231
"BNC2-AS1",1,"Basal",-2.003556373178
"LRRC10B",1,"Basal",-1.99233381375337
"MAPK4",1,"Normal",-1.99049768626903
"RAP1GAP2-AS1",1,"Her2",-1.98927813937481
"LRP4",1,"LumA",-1.98642719174786
"APCDD1L-DT",1,"Basal",-1.9852178441783
"LINC02995",1,"LumB",-1.98426765457106
"SHISA2",1,"Basal",-1.97787964560987
"BEX1",1,"Basal",-1.97410882814411
"TPPP3",1,"Basal",-1.97035276821687
"S100A7A",1,"Her2",-1.96852967920517
"MED1",1,"Her2",-1.96784827241466
"ZNF385D",1,"LumB",-1.96400898308101
"C4BPA",1,"Normal",-1.95698643039136
"KLK1",1,"Basal",-1.9569077856464
"TP53AIP1",1,"Normal",-1.95666971977622
"SLIT1",1,"LumA",-1.95126093560221
"KISS1R",1,"Her2",-1.95079216901723
"FNDC5",1,"Basal",-1.94879779267936
"NOTUM",1,"Basal",-1.94255293791062
"APLP1",1,"LumA",-1.94154779968379
"RLN2",1,"LumA",-1.93397919520419
"PRR36",1,"Basal",-1.93110936132808
"STEAP4",1,"LumB",-1.92900823440897
"LINC02593",1,"Basal",-1.92466287980378
"ID4",1,"Basal",-1.92432719965157
"GDF9",1,"Her2",-1.92385122682545
"KRT40",1,"LumB",-1.91909607101972
"ACTA1",1,"Basal",-1.91297244608649
"STC1",1,"Her2",-1.91216011421463
"CELF5",1,"Her2",-1.91060480094748
"AGT",1,"Basal",-1.90804689149558
"ANKRD1",1,"Basal",-1.89771607682204
"NPC1L1",1,"LumA",-1.89522217701438
"STARD4-AS1",1,"Basal",-1.89504416179204
"KRT1",1,"LumA",-1.89503001856262
"H2AC20",1,"Basal",-1.88579887763024
"KIAA0319",1,"Her2",-1.8841630515628
"MTND5P11",1,"Basal",-1.88022043306997
"B4GALNT2",1,"LumB",-1.87967025074146
"HOXA9",1,"Normal",-1.87481387967157
"ASCL1",1,"LumA",-1.87179180110413
"LEFTY2",1,"Basal",-1.86918641211149
"TMPRSS9",1,"LumA",-1.86805571982172
"SSUH2",1,"Basal",-1.86650496442674
"POMC",1,"Basal",-1.8638298482763
"HUNK",1,"Basal",-1.84507090458544
"ZNF697",1,"Basal",-1.84466766905268
"S100P",1,"Her2",-1.84187609788963
"CCDC74A",1,"Normal",-1.84107250009844
"NDP",1,"LumB",-1.83793604299227
"TESC",1,"Normal",-1.83748035895122
