"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"DHRS4-AS1",1369.99114222661,-0.548407280701845,0.167022143424532,0.000520845568285149,0.00349127777234331,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"ADCYAP1",350.336116441527,-0.665753828771947,0.540716661260139,0.000521099338925932,0.00349167644289259,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"TMA7",494.755709478931,-0.584905910103642,0.178425929834335,0.000521637750742644,0.00349398137107569,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"RHOG",3773.73801854287,0.466505068499172,0.138725957303072,0.000522110012007089,0.00349584166385224,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"USP38",2048.37605048677,0.409368637570073,0.120555960297925,0.000522382582947197,0.00349636402165515,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"CUBN",192.526291175293,-0.800557551779995,0.256513722666933,0.000523954017556508,0.00350166517274377,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"SELENBP1",7319.34572622413,-0.933267675571537,0.312353384942862,0.000523577822456791,0.00350166517274377,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"SPINK1",43.6456525056584,-1.26112618808562,0.44296638913694,0.000523810277589009,0.00350166517274377,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
"LRP3",2332.38928779983,-0.555753885235665,0.168018167613993,0.000524943350895814,0.00350652901423735,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"RANBP3L",69.3936618614033,-0.971801478472619,0.322955062334279,0.000525072037021462,0.00350652901423735,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"ZNF415",567.421144671984,-0.558956452890871,0.169614327859299,0.000526328441918535,0.00351361382976151,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"STX6",4925.31546077925,-0.415087421269367,0.124773012466516,0.00052830465521722,0.0035254968284102,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"MT-ND3",73205.4904112497,-0.797796977853179,0.259184063044184,0.00053049449376196,0.00353879604580408,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"NBEAL2",3857.56845885349,0.411811164610609,0.11941532742595,0.000531496138593957,0.00354284759149555,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"CEP41",1043.89553650309,-0.515820442428542,0.1578558518262,0.000531767143318935,0.00354333975994979,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"C1orf21",3410.01398165207,-0.63604966580704,0.196504399714267,0.000541331949159918,0.00360573627070159,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"NUDT10",57.468346684116,-1.01067278834494,0.339670019800835,0.000542936548353889,0.00361508436845785,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
"ADPGK",3605.25781926556,0.313624815227772,0.0914034836807817,0.000543866818610571,0.00361993725824095,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"EPHB1",888.019874742598,-1.03922199868992,0.3521141968855,0.000545587143522698,0.00362941969047325,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
"NPTXR",1975.98371057387,-0.890825838459495,0.292342279595891,0.00054569539834504,0.00362941969047325,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"LINC03143",39.9183433924913,-0.804620122690417,0.260255013711412,0.000549199956031476,0.0036500267787876,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"LOC100287808",38.7873517143903,-0.763133506780085,0.243799217454864,0.000549064072580317,0.0036500267787876,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"NT5C3A",2169.69765053596,0.48477167639919,0.145065542584394,0.000550024000729206,0.00365415205807932,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"GCAT",1126.62559882142,-0.611910717569329,0.189816292968825,0.000551876641607713,0.00366375143196609,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"RASGRP1",989.705053842831,0.714028220269598,0.224936191291525,0.000551801055965004,0.00366375143196609,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"PIAS2",1883.10156257072,-0.445437241609341,0.134322598866441,0.000552543563084411,0.00366682436196084,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"NCK1",2526.4012411028,0.45417139687367,0.134369832132241,0.000552908573791556,0.00366789220362054,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"SOCS7",1864.27819860903,-0.476143228392362,0.143635916213985,0.000558565655571711,0.00370405291375617,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"NGFR",890.944744746746,-1.13468138928841,0.393430511623991,0.000559488471817582,0.00370880388308143,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
"OSTF1",2592.04128559228,0.410450961441851,0.122396451004517,0.000560134322963159,0.00371147386817994,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"YIPF3",7426.77660772339,-0.375421430605602,0.113421115922844,0.000560304301617728,0.00371147386817994,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"TRO",715.021168071879,-1.03237076097036,0.349982149944796,0.000560784599070278,0.00371328667276786,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
"SULT1C4",316.382744428888,-1.09208025134024,0.374730459225145,0.000561022540337995,0.0037134939493238,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
"RABAC1",545.965258302095,-0.61722023724111,0.191589592042427,0.000561600824846249,0.00371595302772899,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"TCEAL8",2643.64113804098,-0.404150538360948,0.121393619385173,0.000564344428195155,0.00373273232208139,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"TAPT1-AS1",74.808203125625,-0.787821329631769,0.254202060705677,0.000565158079408907,0.00373673872150753,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"HES6",487.067314106218,-0.853099279623338,0.278614003439213,0.000565433306826972,0.00373718350753495,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"FAM3B",385.508012877483,-1.31513812312654,0.471541878685501,0.000571307116717776,0.0037746177185791,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
"SYNPO2L",10.9832080289189,-0.854115839104055,0.281459649126259,0.000572436946648953,0.00378069252783107,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"ANAPC4",1308.02398255645,0.310195478954429,0.0914521490990938,0.000573339374301923,0.00378450867308253,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"NUCKS1",32723.7959293102,-0.418437390985238,0.127415974294947,0.000573435931044668,0.00378450867308253,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"PPP1R13B",1770.38377868076,-0.377345572481149,0.112519895692336,0.000574198409600966,0.00378814963984543,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"SLC8A2",48.7108971290527,-1.1596131662601,0.40423638236109,0.000576427181655255,0.00380006341948884,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
"ATP5ME",489.221450316774,-0.654128957939296,0.205594244321683,0.000579603071422338,0.00381849392350865,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"MAP1LC3C",31.1718097057199,1.03757880962392,0.352183918067076,0.000579647845046552,0.00381849392350865,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"GATA3-AS1",35.4388457740189,-1.33493472910122,0.480754931725371,0.000581739793077035,0.00383087058313939,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
"TMEM237",1933.361918327,-0.474223565348264,0.143525134195231,0.000586332492049604,0.00385828678675336,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"MBP",2680.07497240017,0.683452889392913,0.214453615678654,0.00058875279204496,0.0038713949803126,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"COPB2-DT",306.916974982665,-0.471594397853202,0.142909510417728,0.000588755354804648,0.0038713949803126,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"EPPK1",2226.59668064922,-0.89061600489827,0.295322437482302,0.000589057374818753,0.00387196418539423,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"SREBF2",9469.56339021188,-0.449265423827553,0.135849956967862,0.000592356700246178,0.00389222751741282,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"CLDN10",241.860863925006,-0.918012683770165,0.609319446079419,0.000593740979893396,0.00389989735002347,"Basal","High_Q4_vs_Low_Q1","NS",FALSE
"ATP13A4",310.749059483133,-1.12076361099474,0.389316719800145,0.000594474836411428,0.00390166558746425,"Basal","High_Q4_vs_Low_Q1","DOWN",TRUE
