"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"TRG-AS1",143.692311917038,1.7967040414077,0.284584842973193,2.16892624947584e-11,9.11503866378556e-09,"Normal","IC1_vs_IC2","UP",TRUE
"SP140",365.325635976788,2.07790194998522,0.329732010353813,2.39394874734722e-11,9.83205632120718e-09,"Normal","IC1_vs_IC2","UP",TRUE
"CD226",244.456049065511,1.61524733550908,0.257016416583637,2.67048088206301e-11,1.0724057782169e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CD70",53.616876418541,2.76235560858914,0.440106033563458,2.79578641772715e-11,1.09831861640755e-08,"Normal","IC1_vs_IC2","UP",TRUE
"LCK",875.968587823583,1.99342643377282,0.317691883205099,2.86747092522874e-11,1.10251206574061e-08,"Normal","IC1_vs_IC2","UP",TRUE
"SPN",1091.76496770206,1.71842806242353,0.274442448050297,3.04959381817433e-11,1.12467775282099e-08,"Normal","IC1_vs_IC2","UP",TRUE
"LINC01215",78.3904385718356,3.12054738067696,0.497234750518218,3.02648471824263e-11,1.12467775282099e-08,"Normal","IC1_vs_IC2","UP",TRUE
"SNX20",667.770290435028,1.91317988624887,0.306103014459099,3.28683523955021e-11,1.14223845411369e-08,"Normal","IC1_vs_IC2","UP",TRUE
"BTLA",145.384807947048,2.38611483472322,0.381570013848698,3.27484722771645e-11,1.14223845411369e-08,"Normal","IC1_vs_IC2","UP",TRUE
"ARHGAP30",2326.04018841978,1.59130182075546,0.254747522262505,3.22792209158694e-11,1.14223845411369e-08,"Normal","IC1_vs_IC2","UP",TRUE
"PARVG",850.433307951983,1.45159281051763,0.23341462936713,4.03483615975065e-11,1.37355321123684e-08,"Normal","IC1_vs_IC2","UP",TRUE
"SH2D1A",280.692202279168,2.33320423540261,0.37523140998511,4.10446978068669e-11,1.37355321123684e-08,"Normal","IC1_vs_IC2","UP",TRUE
"GPR18",88.7609867927095,2.36628299879653,0.381252751995675,4.40223360500466e-11,1.44641388138253e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV7-3",12.0060783715928,2.2508673521353,0.365280054227546,4.83232807854281e-11,1.5593750126312e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CD8A",1115.32300547612,1.79993896355945,0.291389246914814,5.32180354215468e-11,1.68719845281188e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TESPA1",290.226426511705,1.96144247757244,0.318263883864441,5.65753544009598e-11,1.76271246444784e-08,"Normal","IC1_vs_IC2","UP",TRUE
"SASH3",1268.38485416126,1.78786624522601,0.290253846431232,5.98662503232846e-11,1.83363221964759e-08,"Normal","IC1_vs_IC2","UP",TRUE
"ICOS",155.509086317131,2.51943128020641,0.409751812405543,6.54799035315661e-11,1.97214556119822e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CD69",503.457068047655,1.80639972186748,0.295338606005805,7.71002670242985e-11,2.28406381212475e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV20-1",79.8729732453869,2.25344852249629,0.369041028549667,7.90660537252651e-11,2.30452041430527e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CSF2RB",1434.48940200997,1.23672962993103,0.266066799433584,8.37593753732357e-11,2.37531727179391e-08,"Normal","IC1_vs_IC2","UP",TRUE
"FCMR",1187.32350753472,1.91096174305051,0.313479959624709,8.49596591938914e-11,2.37531727179391e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TMC8",1293.0482350494,1.88941706140643,0.310116729755362,8.54383391437131e-11,2.37531727179391e-08,"Normal","IC1_vs_IC2","UP",TRUE
"GBP5",1179.41679916785,2.43916898264215,0.399700841906797,8.713531108124e-11,2.38579122204407e-08,"Normal","IC1_vs_IC2","UP",TRUE
"PYHIN1",184.732858304331,2.03093755401388,0.335211419392387,1.08745742540576e-10,2.93305121410559e-08,"Normal","IC1_vs_IC2","UP",TRUE
"PAX5",413.996758740469,4.05896630247685,0.665477234905374,1.12219021772599e-10,2.98222050360681e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CD8B",243.770745242441,1.72858544940894,0.285764278845956,1.14791559821824e-10,3.00637431527562e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TRAF3IP3",576.966397660565,1.75094398943195,0.290141754817673,1.30255176790972e-10,3.36263042827094e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV6-1",20.7522214784896,2.44682689644782,0.407188501893793,1.41270160620896e-10,3.59562404588763e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV7-9",47.3075032951893,1.95877538798355,0.327136418426311,1.49829080487788e-10,3.76050182429836e-08,"Normal","IC1_vs_IC2","UP",TRUE
"IL12RB1",275.936266477893,1.63356580134162,0.273706392329671,1.91411892720051e-10,4.67509357055574e-08,"Normal","IC1_vs_IC2","UP",TRUE
"IL10RA",2123.80565640813,1.68511083811318,0.282484347640391,1.94030224000709e-10,4.67509357055574e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CD53",3331.83747842227,1.61444584574056,0.270241764602018,1.94009135690038e-10,4.67509357055574e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV27",28.8714720960618,2.24776154474857,0.37836057023645,2.12549430794551e-10,5.05392205774779e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TNFAIP8",1560.24672854628,1.10774806441231,0.185480317723052,2.15936808895307e-10,5.06778451110011e-08,"Normal","IC1_vs_IC2","UP",TRUE
"JAK3",1512.08164222076,1.41398337240336,0.238043792251107,2.22376836650678e-10,5.09281676315056e-08,"Normal","IC1_vs_IC2","UP",TRUE
"IL16",1379.59742885638,1.38485172547338,0.23266026999418,2.22639878417849e-10,5.09281676315056e-08,"Normal","IC1_vs_IC2","UP",TRUE
"P2RY8",674.656468818478,1.78098068657737,0.300496734803074,2.3785191380953e-10,5.37277741806502e-08,"Normal","IC1_vs_IC2","UP",TRUE
"ADAMDEC1",821.112390074728,3.2350314914342,0.542437345124602,2.52616374538565e-10,5.55675253395012e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CD52",1676.25273468008,2.32095436736679,0.392106712417728,2.58296282912849e-10,5.55675253395012e-08,"Normal","IC1_vs_IC2","UP",TRUE
"MTCO1P53",128.227207424,4.43785808717479,0.747056776667465,2.56317585840222e-10,5.55675253395012e-08,"Normal","IC1_vs_IC2","UP",TRUE
"AIM2",141.440263754455,2.29698812521037,0.388126014637192,2.64239405836246e-10,5.6177297680786e-08,"Normal","IC1_vs_IC2","UP",TRUE
"WDFY4",1139.31571789823,1.84417928525625,0.312708354166297,2.92445742573126e-10,6.14510117911508e-08,"Normal","IC1_vs_IC2","UP",TRUE
"PDCD1LG2",285.596997309938,1.45605369310936,0.246963257430431,3.00726446869066e-10,6.22550190913144e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV5",10.7011299248623,2.35815736485029,0.399949655793657,3.0316206518929e-10,6.22550190913144e-08,"Normal","IC1_vs_IC2","UP",TRUE
"PTPRC",4613.17351167676,1.92574593656228,0.327443777336911,3.19113342552509e-10,6.47943507108583e-08,"Normal","IC1_vs_IC2","UP",TRUE
"RAC2",3149.35384049222,1.43652862430005,0.244417459137832,3.36110583005141e-10,6.7487270505399e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TCL1A",249.614966235703,3.94906510045139,0.66851664458974,3.48760340908289e-10,6.85048708755836e-08,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV13-1",28.5189241428357,2.10655747554138,0.359336551962606,3.56697506921887e-10,6.93105445976927e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CD2",1222.95761726518,1.86215743631533,0.317952268479953,3.65790427708956e-10,7.03212640332825e-08,"Normal","IC1_vs_IC2","UP",TRUE
"SP140L",780.20976015794,0.821810084484414,0.13891987378803,4.05761582837825e-10,7.63803912860659e-08,"Normal","IC1_vs_IC2","NS",FALSE
"FTH1P22",24.8612725292398,1.83905718064527,0.315514177769287,4.04824441009976e-10,7.63803912860659e-08,"Normal","IC1_vs_IC2","UP",TRUE
"GPR183",1072.05190775869,1.58115681244118,0.270872900617469,4.21418129577227e-10,7.85097630885574e-08,"Normal","IC1_vs_IC2","UP",TRUE
"MS4A1",1311.37844181011,3.67282611408121,0.626908833264446,4.60176173963874e-10,8.48555473438895e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CRTAM",122.921938307547,1.90696738495104,0.328891182499103,5.193441512625e-10,9.47986682572186e-08,"Normal","IC1_vs_IC2","UP",TRUE
"CEACAM21",93.9088979620703,1.49685299584584,0.258709562711496,5.8087352542865e-10,1.03930351267536e-07,"Normal","IC1_vs_IC2","UP",TRUE
"SAMD9",1917.09410195808,1.54733646632369,0.267226479369505,5.79618453029251e-10,1.03930351267536e-07,"Normal","IC1_vs_IC2","UP",TRUE
"EOMES",193.114993562815,2.19734944383484,0.380057782473055,5.91997344444709e-10,1.03980255597718e-07,"Normal","IC1_vs_IC2","UP",TRUE
"MIR155HG",90.5504559302847,1.87243637205945,0.324152390667394,5.92660413179402e-10,1.03980255597718e-07,"Normal","IC1_vs_IC2","UP",TRUE
"SPOCK2",2704.9514698686,1.68359287334462,0.292811911422231,7.31936046004747e-10,1.25763173257734e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV6-5",25.7907689793225,2.32624337293146,0.405057490699245,7.37695554497249e-10,1.25763173257734e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV14DV4",13.7556054270684,2.12638435204468,0.370726660915487,7.51353177012897e-10,1.26324103202161e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TIFAB",72.538762175648,2.36422387831686,0.41253211006668,7.54966695027027e-10,1.26324103202161e-07,"Normal","IC1_vs_IC2","UP",TRUE
"LAP3",6651.1949602293,0.876386172874809,0.149941599933453,7.83517093358889e-10,1.29898508202647e-07,"Normal","IC1_vs_IC2","NS",FALSE
"CXCR6",336.939563972472,1.71176150583385,0.299302356605857,8.1848139762659e-10,1.33664980793588e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV9-2",22.7298312576757,2.51952868755541,0.440730944703354,8.21028878760905e-10,1.33664980793588e-07,"Normal","IC1_vs_IC2","UP",TRUE
"OR2I1",629.268754215342,2.30331269027128,0.402302639986888,8.29168830596075e-10,1.33784910158051e-07,"Normal","IC1_vs_IC2","UP",TRUE
"FCER2",225.507046745109,3.90615020495037,0.678872124713136,8.62998212049951e-10,1.36776746671038e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV8-6",26.0494824914665,2.13379233800223,0.373414025533809,8.77986974370004e-10,1.36776746671038e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV5-4",20.6225535148749,2.19976687918103,0.384967160337253,8.72526112034495e-10,1.36776746671038e-07,"Normal","IC1_vs_IC2","UP",TRUE
"LOC105371773",70.6887015701789,2.13642029934626,0.374275041286087,8.71278090799899e-10,1.36776746671038e-07,"Normal","IC1_vs_IC2","UP",TRUE
"ARRDC5",22.5291759747614,1.69058097168895,0.297084636720851,9.48642467354959e-10,1.4652066690232e-07,"Normal","IC1_vs_IC2","UP",TRUE
"S1PR4",238.325839149531,2.09554001469267,0.367850763133189,9.60385452124464e-10,1.47077334791027e-07,"Normal","IC1_vs_IC2","UP",TRUE
"LAX1",214.134731046606,2.01635696154268,0.354773030155037,1.04693701313928e-09,1.58984863566722e-07,"Normal","IC1_vs_IC2","UP",TRUE
"CD28",378.51935087381,1.88121865447664,0.331309641160014,1.08126968990601e-09,1.62830204719096e-07,"Normal","IC1_vs_IC2","UP",TRUE
"THEMIS",165.333244586215,1.91734474645291,0.337729513282189,1.09070672962259e-09,1.62893895132313e-07,"Normal","IC1_vs_IC2","UP",TRUE
"VNN2",137.935087253181,2.02927583998977,0.358196411904154,1.16510791172017e-09,1.72579221907337e-07,"Normal","IC1_vs_IC2","UP",TRUE
"STAT1",15829.972858308,1.33955244474573,0.23826848138375,1.26854508593434e-09,1.84869985870318e-07,"Normal","IC1_vs_IC2","UP",TRUE
"CD27",221.338464648334,1.79743261058967,0.318467612066054,1.30200274173305e-09,1.88227932366864e-07,"Normal","IC1_vs_IC2","UP",TRUE
"FAM78A",741.957754819761,1.37386158631917,0.243728272369165,1.40416072408987e-09,1.95189141884831e-07,"Normal","IC1_vs_IC2","UP",TRUE
"FCRL2",116.763162926497,3.14517741526387,0.556445580979621,1.40278399912152e-09,1.95189141884831e-07,"Normal","IC1_vs_IC2","UP",TRUE
"NRROS",482.574473268024,1.15585290342575,0.204368508705354,1.40061069162483e-09,1.95189141884831e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TOX",305.18315225648,1.45669968182271,0.258398289508677,1.38594420751741e-09,1.95189141884831e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV3-1",22.887795198075,2.10604890136671,0.375782445414803,1.37709736499049e-09,1.95189141884831e-07,"Normal","IC1_vs_IC2","UP",TRUE
"MAP4K1",531.726353658151,1.70332683752986,0.302791364316627,1.48259324245319e-09,2.04518644918867e-07,"Normal","IC1_vs_IC2","UP",TRUE
