"cell_type","n","mean","sd","median","IQR","min","max"
"otherCells",1013,0.5626,0.2386,0.6184,0.3356,0,0.9443
"CAFs",1013,0.3081,0.2436,0.246,0.3166,0.0054,1
"Endothelial",1013,0.0533,0.0383,0.0434,0.0387,0,0.4331
"CD4_Tcells",1013,0.0404,0.0392,0.0353,0.0356,0,0.3697
"Macrophages",1013,0.0176,0.0224,0.0134,0.0129,0,0.5593
"Bcells",1013,0.0138,0.0366,0.0036,0.0091,0,0.6082
"CD8_Tcells",1013,0.0041,0.0089,0,0.0053,0,0.1089
"NKcells",1013,2e-04,8e-04,0,0,0,0.0138
