"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_SIGNALING_BY_FGFR4",0.671421544515494,0.963643851156575,0.0362938648320271,-0.33857833688803,-0.860966808204844,32,"SPRY2,PPP2R1A,SRC,PLCG1,FGF1,PTPN11,UBA52,FRS3,MAPK1,MAPK3,HRAS,FGF2,FRS2,BRAF,KRAS,PPP2CB","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY FGFR4",16
"REACTOME_SIGNALING_BY_FLT3_FUSION_PROTEINS",0.675374323032813,0.963643851156575,0.0278187511834534,-0.380579641062043,-0.856279839045624,19,"NOX4,GAB2","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY FLT3 FUSION PROTEINS",2
"REACTOME_SIGNALING_BY_ERBB4",0.683021806853583,0.968649107901444,0.046545782323203,-0.310353621589348,-0.865892639389194,49,"EGF,SPARC,NRG1,GABRQ,APH1A,YAP1,PSENEN,SRC","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY ERBB4",8
"REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII",0.688979591836735,0.971212195721662,0.0247802647486789,-0.397170184679832,-0.851954601846583,15,"EGF","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"CONSTITUTIVE SIGNALING BY EGFRVIII",1
"REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING",0.693157894736842,0.971251181846833,0.0241291682637753,-0.39944672035214,-0.845184060403357,14,"EGF","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SHC1 EVENTS IN EGFR SIGNALING",1
"REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS",0.720017685420581,0.972101271156682,0.0105555883693136,0.457318109440115,0.855576513790208,61,"GNGT2,PIK3CD,PECAM1,GNG2,ADCY3","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"HIGH LAMINAR FLOW SHEAR STRESS ACTIVATES SIGNALING BY PIEZO1 AND PECAM1 CDH5 KDR IN ENDOTHELIAL CELLS",5
"REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS",0.700993377483444,0.972101271156682,0.0168379367536634,0.53211116986897,0.850119777319257,13,"STAG2,WAPL,KIF20A,PLK1,SMC3,PDS5A,RAD21,STAG1,SMC1A,MAU2,NIPBL,KIF23,PDS5B","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"MITOTIC TELOPHASE CYTOKINESIS",13
"REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING",0.71823599523242,0.972101271156682,0.0117175199600838,0.467575235749931,0.845890824384649,40,"APOC1,NR1H3,APOE,CETP,SREBF1,MOV10,ABCA1,ABCG1,HDAC3,PLIN1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"NR1H2 AND NR1H3 MEDIATED SIGNALING",10
"REACTOME_SIGNALING_BY_LTK",0.713513513513514,0.972101271156682,0.0178195988990446,0.534026217965625,0.8315199074211,10,"GRB2,ALKAL2,SOS1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY LTK",3
"REACTOME_SIGNALING_BY_NTRK2_TRKB",0.71007639141506,0.972101271156682,0.0292988356681409,-0.352428581022746,-0.824612365264429,23,"NTF3,SRC,PLCG1,PTPN11,FRS3,CDK5R1,HRAS,NTF4,TIAM1,FRS2,DOCK3,KRAS","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY NTRK2 TRKB",12
"REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS",0.722844534962661,0.972101271156682,0.0167520109630121,0.51979532890868,0.82340219423894,12,"APBB1IP,GRB2,RAP1A,RAP1B,VWF","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"GRB2 SOS PROVIDES LINKAGE TO MAPK SIGNALING FOR INTEGRINS",5
"REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS",0.722523096527557,0.972101271156682,0.0266418288849326,-0.363478210942037,-0.817802715598492,19,"EGF","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"CONSTITUTIVE SIGNALING BY LIGAND RESPONSIVE EGFR CANCER VARIANTS",1
"REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS",0.728280141843972,0.973814589665653,0.0104211384902301,0.453586104795531,0.847248844824474,60,"APBB1IP,JAK2,ARRB2,RAP1A,ZC3HAV1,ARRB1,KSR1,RAP1B,VWF,CSK,ATG7,CAMK2D,MAP2K1,FAM114A2","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY BRAF AND RAF1 FUSIONS",14
"REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING",0.741172316384181,0.985422284283513,0.0279948214942274,-0.347531361783917,-0.805470868882312,22,"SPRY2,PPP2R1A,SRC,FGF1,PTPN11,UBA52,MAPK1,MAPK3,FGF2,FRS2,BRAF,PPP2CB","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"NEGATIVE REGULATION OF FGFR4 SIGNALING",12
"REACTOME_HEME_SIGNALING",0.745614035087719,0.985727029438002,0.0108806419231117,0.452278949233925,0.825473563791088,44,"TLR4,LY96,HELZ2,HMOX1,BMAL1,RORA,HDAC3,NFE2L2","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"HEME SIGNALING",8
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",0.914826498422713,1,0.0835547516226498,-0.248840901260384,-0.820629262474787,109,"DYNC1I1,PPP2R1A,PMF1,DYNLL1,PPP2R5A,NSL1,ZW10,CENPS,ANAPC7,DYNC1I2,ANAPC11,CENPF,BUB3,RANGAP1,RPS27,NUDC,ZWINT,SEC13,CENPP,DYNLL2,SPC24,ANAPC15,DYNC1H1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"MITOTIC SPINDLE CHECKPOINT",23
"REACTOME_GPER1_SIGNALING",0.761526423498255,1,0.0109962580426095,0.44601690953969,0.804336243794897,38,"GNGT2,GNG2,ADCY3,ADCY5,GNAI2,ADCY7","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"GPER1 SIGNALING",6
"REACTOME_RET_SIGNALING",0.773481336911442,1,0.0109608054737589,0.44204379921284,0.792477304022005,36,"DOK2,PIK3CD,DOK1,GRB2,RET","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"RET SIGNALING",5
"REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING",0.810865191146881,1,0.03891205616691,-0.291756252102229,-0.790971767640908,43,"AKT1,SEM1,PSMB5,NOTCH4,RBX1,PSMD8,PSMC3,UBA52,PSMB3,PSMB1,PSMB4,YWHAZ","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"NEGATIVE REGULATION OF NOTCH4 SIGNALING",12
"REACTOME_NUCLEAR_SIGNALING_BY_ERBB4",0.779777206512425,1,0.0305908004888653,-0.317340858489216,-0.783593235491377,28,"SPARC,NRG1,APH1A,YAP1,PSENEN,SRC","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"NUCLEAR SIGNALING BY ERBB4",6
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES",0.9741,1,0.00235700080010808,0.409957217248196,0.783034071301388,488,"IL2RG,JAK3,PRKCB,NCF1,LCK,NCKAP1L,NCF4,CD274,VAV1,CYBB,PTK2B,STAT1,JAK2,GRAP2,PTPN6,SOCS1,ELMO1,PRDM1,NCF2,SH2B3,SH2D2A,LYL1,GRAP,PDE3B,LYN,PAG1,PTPN1,FLT3,PTPRO,RAPGEF1,CYFIP2,APOE,NCK1,GRB2,SH3KBP1,DIAPH1,COL6A6,TEC,ESR1,RAP1A,MAPKAPK3,CMA1,NTRK1,AXL,HBEGF,CILP,STAT5A,ATP6V1B2,KITLG,IGF1,VEGFD,PTPN2,RAP1B,EPS15,ALKAL2","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY RECEPTOR TYROSINE KINASES",55
"REACTOME_SIGNALING_BY_EGFR",0.856181665264929,1,0.0428654269061935,-0.275025898780757,-0.778713632286912,52,"EGF,SPRY2,SH3GL2,SRC,ADAM12,PLCG1,ARHGEF7,EPN1,EPS15L1,SPRY1,PXN,PTPN11","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY EGFR",12
"REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING",0.771186440677966,1,0.0235461117901514,-0.358076535331642,-0.778666586834787,16,"SPRY2,PPP2R1A,SRC,PTPN11,UBA52,MAPK1,MAPK3","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SPRY REGULATION OF FGF SIGNALING",7
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3",0.784943098920339,1,0.0237857196707869,-0.34902510612388,-0.770175336464296,17,"FGFR3,PLCG1,FGF1,PTPN11,FRS3,HRAS,FGF2,FRS2,KRAS,SHC1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"DOWNSTREAM SIGNALING OF ACTIVATED FGFR3",10
"REACTOME_SIGNALING_BY_NTRK3_TRKC",0.792529909541873,1,0.0236294467331277,-0.34567535454214,-0.762783615908174,17,"NTF3,NTRK3,SRC,PLCG1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY NTRK3 TRKC",4
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX",0.951327433628319,1,0.0681021234212085,-0.23727176118464,-0.759682480298745,93,"ITGB5,PMEPA1,ITGB3,LTBP3,TGFB2,COL1A2,SMAD3,FURIN,LTBP1,BAMBI,WWTR1,SKI,TGIF1,ITGB1,NEDD8,ITGAV,NEDD4L,F11R,UCHL5,PRKCZ,UBE2M,LTBP4,TFDP2,SKIL,UBA52,MEN1,CGN,YBX1,EP300,NCOR2,MAPK1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY TGF BETA RECEPTOR COMPLEX",31
"REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING",0.832572794437201,1,0.00796894245612911,0.398670257146801,0.750158342023141,68,"GNGT2,GNG2,ESR1,S1PR3,ZDHHC7,HBEGF,NOS3,GNAI2","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"EXTRA NUCLEAR ESTROGEN SIGNALING",8
"REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION",0.789261528539181,1,0.0147349925080477,0.460982489129157,0.743914271501838,14,"FYN,TLN1,RND1,FARP2,RAC1,RRAS,PLXNA4,PLXNA3,SEMA3A,PLXNA1,PLXNA2,PIP5K1C,FES,NRP1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"SEMA3A PLEXIN REPULSION SIGNALING BY INHIBITING INTEGRIN ADHESION",14
"REACTOME_SIGNALING_BY_EGFR_IN_CANCER",0.839845261121857,1,0.0274008896033539,-0.309165592296217,-0.738060618346072,25,"EGF","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY EGFR IN CANCER",1
"REACTOME_FRS_MEDIATED_FGFR3_SIGNALING",0.81654501216545,1,0.0203017067651875,-0.360501872312193,-0.737750886363721,12,"FGFR3","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"FRS MEDIATED FGFR3 SIGNALING",1
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",0.961480740370185,1,0.00291005813065721,0.382344494768131,0.733493846076429,276,"TRIM69,SOCS1,UBE2L6,DTX3L,UBA7,TRIM21,KBTBD8,FBXO6,HERC5,ASB2,ZBTB16,RNF213,RNF19B,HERC6,ANAPC4,LNPEP,RNF19A,CDC23,FBXO31,RBCK1,SOCS3,ASB9,UBE2D3,DZIP3,FBXW11,KLHL5,FBXL13,RNF114,FBXW5,UBE2J1,PSMD7,ATG7,UBE2G1,RCHY1,CUL1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"ANTIGEN PROCESSING UBIQUITINATION PROTEASOME DEGRADATION",35
"REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS",0.794127630685675,1,0.0153867819266029,0.461903349179624,0.731696131320248,12,"APBB1IP,RAP1A,RAP1B,VWF","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"P130CAS LINKAGE TO MAPK SIGNALING FOR INTEGRINS",4
"REACTOME_MAPK6_MAPK4_SIGNALING",0.971830985915493,1,0.0530144999143884,-0.237046330034341,-0.722025996640784,73,"ETV4,KALRN,SEM1,JUN,PSMB5,TNRC6B,AGO3,HSPB1,PAK1,PRKACA,PSMD8,TNRC6A,PSMC3,UBA52,AGO1,PSMB3","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"MAPK6 MAPK4 SIGNALING",16
"REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL",0.806514027732989,1,0.0144229836901657,0.447151899262551,0.721595043705367,14,"GRB2,SH3KBP1,EPS15","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"INLB MEDIATED ENTRY OF LISTERIA MONOCYTOGENES INTO HOST CELL",3
"REACTOME_PKR_MEDIATED_SIGNALING",0.865720169069036,1,0.00724236040523586,0.380927888104544,0.717206284847025,70,"STAT1,UBE2L6,HERC5,NCK1,IKBKG,ADAR,PTPN2,TRIM25,EIF2AK2,TUBA1C,FAAP24,NPM1,FANCA","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"PKR MEDIATED SIGNALING",13
"REACTOME_INTERLEUKIN_17_SIGNALING",0.867566978871706,1,0.0072918775480747,0.378512158815978,0.712105333864263,67,"NFKB1,NOD2,MAP3K8,IKBKG,IRAK1,MAPKAPK3,IRAK2,IL17RA,FBXW11,RPS6KA1,CUL1,MAP2K1,DUSP3,ATF1,RPS6KA3,PPP2CA,MAPK11,MAPK9,TNIP2,RIPK2","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"INTERLEUKIN 17 SIGNALING",20
