"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"HALLMARK_ESTROGEN_RESPONSE_LATE",1.96080320797497e-05,8.91274185443166e-05,0.575610261071129,-0.467413424393782,-1.72705127272677,196,"CHST8,PDZK1,IGSF1,CELSR2,NPY1R,DCXR,SLC22A5,MOCS2,PGR,OVOL2,PCP4,TPD52L1,PTGES,SERPINA5,CDH1,AREG,IL17RB,CXCL14,TFF3,TRIM29,FARP1,MYB,TFAP2C,SCNN1A,KRT13,PRLR,MAPT,TFF1,LTF,DNAJC12,HSPA4L,KRT19,SULT2B1,XBP1,ST6GALNAC2,SCUBE2,BCL2,TOB1,PLXNB1,RBBP8,CHPT1,CACNA2D2,EMP2,ETFB,RAPGEFL1,CA12,FKBP4,HOMER2,ELOVL5,BLVRB,CISH,ABCA3,ITPK1,HR,FLNB,CKB,PDLIM3,SLC2A8,ANXA9,PLAC1,PDCD4,CYP4F11,NRIP1,SORD,TPBG,FGFR3,NHERF1,PKP3,TNNC1,SLC29A1,PERP,LARGE1,IL6ST","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",TRUE,"ESTROGEN RESPONSE LATE",73
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",7.54406322128424e-05,0.00031433596755351,0.538434096309916,-0.45379043299322,-1.67654817265274,197,"TIMM9,ATP5MC2,ATP5MG,MRPS30,NDUFC1,ATP5F1A,NDUFA3,ATP5F1D,SUCLG1,ECH1,OXA1L,ATP1B1,BDH2,ALDH6A1,NDUFS4,NDUFA5,SUPV3L1,TIMM50,GOT2,COX6B1,SLC25A4,UQCRC1,UQCRB,ACADVL,SLC25A11,ATP5MC1,COX6A1,ETFB,CYC1,COX8A,SLC25A3,VDAC2,COX4I1,SLC25A12,FXN,ATP5ME,ATP5PD,NDUFB6,ACAT1,IDH3G,GLUD1,RHOT1,TIMM13,UQCR11,NDUFA2,GPX4,UQCR10,NDUFB1,HSPA9,POLR2F,TIMM10,UQCRC2,ETFDH,MAOB,COX7A2L,MRPS15,SLC25A6,SUCLA2,UQCRQ,DECR1,NDUFA1,PHB2,ISCA1,COX7C,NDUFS8,CYB5A,NDUFB4,TOMM22,ATP6V1D,NDUFC2,HADHA,PDHA1,NDUFA8,NDUFB7,VDAC3,ECI1","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",TRUE,"OXIDATIVE PHOSPHORYLATION",76
"HALLMARK_MYC_TARGETS_V1",0.00336201540415801,0.0129308284775308,0.431707695803346,-0.37882679887251,-1.4002438898149,198,"RPL22,YWHAE,RACK1,RPL18,RPL6,RPL14,RPS5,FBL,RPS6,RUVBL2,EIF3D,RPL34,MRPS18B,RSL1D1,IMPDH2,TRIM28,RPS2,HDDC2,RPS3,POLD2,SNRPA,RPLP0,HNRNPA1,SNRPD2,PA2G4,GOT2,SRM,CCT7,TXNL4A,C1QBP,CYC1,SLC25A3,SNRPD3,CCT3,HSP90AB1,NME1,KARS1,ERH,HSPE1,MYC,PRPF31,TUFM,PHB2,SSBP1,NPM1,SERBP1,PSMD8,MRPL23,EXOSC7,CANX,VDAC3","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",TRUE,"MYC TARGETS V1",51
"HALLMARK_E2F_TARGETS",0.00604860881997141,0.0216021743570407,0.194887297433682,0.514636011420474,1.44506569647737,199,"DNMT1,MCM2,CCNE1,TIMELESS,CDC25B,LBR,BRCA1,DONSON,MCM6,HMMR,RAD51AP1,DCLRE1B,MYBL2,HMGB3,SMC6,DCK,PLK1,E2F8,EED,BRCA2,CDKN1A,NCAPD2,TFRC,MAD2L1,PCNA,BUB1B,CNOT9,MCM7,CTPS1,RRM2,PLK4,SPAG5,PRPS1,SMC1A,EZH2,MCM5,CDKN2A,MELK,TCF19,DEPDC1,SMC4,DEK,DLGAP5,KIF4A,MTHFD2,TOP2A,LYAR,MKI67,HELLS,USP1,RACGAP1,NASP,KIF2C,AURKB,CHEK1,AURKA,KIF18B,LMNB1,GINS1,GINS4,ORC6,CDC25A,ANP32E,XPO1,DIAPH3,PRIM2,RFC3,PSIP1,TACC3,NUP205,NOLC1,MCM3,POLD1,PRDX4,POLD3,CENPE,KPNA2,CHEK2,CDKN1B,POLE,CDCA8,CDKN2C,ING3,HUS1,TMPO","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"E2F TARGETS",85
"HALLMARK_APOPTOSIS",0.0147676928319891,0.0464487842490119,0.125952931638622,0.515906396155793,1.42604220310329,155,"CD69,CD2,CD38,FASLG,TAP1,BIRC3,IRF1,CASP8,PLCB2,HMOX1,CYLD,IL6,PRF1,CDC25B,CASP1,CASP7,BRCA1,CASP4,CFLAR,CASP3,TNF,IL18,CDKN1A,ISG20,BMP2,PAK1,BID,MCL1,ATF3,F2R,GCH1,LEF1,GPX3,CAV1","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"APOPTOSIS",34
"HALLMARK_MYOGENESIS",0.0148636109596838,0.0464487842490119,0.380730400722792,-0.364770924398093,-1.33115477671941,176,"VIPR1,CAMK2B,CTF1,TPD52L1,MYOZ1,STC2,MYL11,EIF4A2,KCNH2,FST,DTNA,APP,MYL7,CKMT2,APOD,MYL6B,HDAC5,MYH11,TNNT1,DMD,PICK1,SPDEF,MAPRE3,EFS,KLF5,IGFBP3,SH3BGR,MYOM2,MB,TAGLN,LPIN1,FOXO4,DENND2B,CACNG1,ITGB4,FKBP1B,CKB,SIRT2,CRYAB,AK1,TSC2,PPP1R3C,SMTN,MYO1C,TPM2,SYNGR2,FGF2,TNNC1,COX7A1,SH2B1,CLU,LARGE1,TNNI2,SGCA,TNNI1","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",TRUE,"MYOGENESIS",55
"HALLMARK_ADIPOGENESIS",0.0229257641921397,0.0674287182121757,0.318279675040437,-0.342464724299373,-1.26374424167112,195,"REEP6,EPHX2,BCL6,GPHN,ARL4A,HIBCH,REEP5,DHRS7B,GPAT4,SUCLG1,ECH1,MTARC2,PEX14,SLC1A5,NDUFA5,TOB1,CMBL,SLC25A10,UQCRC1,LIFR,APLP2,UCK1,COX6A1,ETFB,HADH,CYC1,RREB1,COX8A,IDH3G,CYP4B1,SCP2,UQCR11,GPX4,UQCR10,NMT1,COQ5,JAGN1,SAMM50,NKIRAS1,COQ3,SOD1,UQCRQ,SOWAHC,DBT,DECR1,PDCD4,SLC27A1","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",FALSE,"ADIPOGENESIS",47
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.025431978583597,0.070644384954436,0.0988657646175473,0.541656025894307,1.42894295000335,100,"PRKCB,LCK,IL2RG,FASLG,SLA,MYD88,CXCR4,STAT2,DAPP1,MKNK1,GRK2,CAMK4,ACTR2,IRAK4,CDKN1A,RIPK1,ACTR3","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",FALSE,"PI3K AKT MTOR SIGNALING",17
"HALLMARK_COAGULATION",0.0294329649207112,0.0774551708439768,0.0911296779883595,0.526272905154615,1.40251727608151,112,"PLEK,GP1BA,FYN,MMP9,LGMN,C2,VWF,C1QA,APOC1,C1S,FGG,THBD,C1R,CFH,PECAM1,CTSK,CFB,C3,CTSB,OLR1","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",FALSE,"COAGULATION",20
"HALLMARK_MTORC1_SIGNALING",0.0340046219874546,0.0850115549686365,0.080861650980769,0.473744876932617,1.3301389686275,198,"CTSC,WARS1,ITGB2,CORO1A,IFI30,SLA,CXCR4,LGMN,MCM2,FGL2,SLC2A3,DAPP1,LDLR,FADS1,ACTR2,CYP51A1,EDEM1,PLK1,GLRX,CDKN1A,BCAT1,TXNRD1,TFRC,BUB1,STARD4,SLC7A11,ACTR3","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",FALSE,"MTORC1 SIGNALING",27
