"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS",0.159211653813196,0.34126956879978,0.04509456744793,0.63437200254407,1.2937293177268,18,"STAT1,CNTRL","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS",2
"REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING",0.159322591252877,0.34126956879978,0.0440560759786921,0.608886167410554,1.29074864345922,22,"STAT1,SOCS3,IL6,OSM,IL6R,JAK2,CLCF1,TYK2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"INTERLEUKIN 6 FAMILY SIGNALING",8
"REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS",0.166189111747851,0.348250359993849,0.0451213572756294,0.666874452427738,1.30599149922068,14,"APBB1IP,VWF,FGG,FGB,RAP1B,SRC,RAP1A,TLN1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"P130CAS LINKAGE TO MAPK SIGNALING FOR INTEGRINS",8
"REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING",0.167456556082148,0.348250359993849,0.0397201431311868,0.532786006779056,1.24953928695673,40,"CETP,APOC1,NR1H3,ABCA1,PLTP,APOE,PCK1,MOV10,PLIN1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"NR1H2 AND NR1H3 MEDIATED SIGNALING",9
"REACTOME_SIGNALING_BY_PDGF",0.166189892385234,0.348250359993849,0.0387119238036831,0.505601877202232,1.24140790529632,53,"STAT1,COL2A1,COL4A4,RAPGEF1,GRB7,PTPN12,COL5A3,GRB2,PLCG1,NCK1,SRC,KRAS,COL6A6,PIK3CB,SPP1,PDGFRB,COL4A1,COL6A2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY PDGF",18
"REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING",0.170726402783819,0.351936005738574,0.0494468248226716,-0.600566998443095,-1.28102693374943,12,"NRG2,NRG1,EGFR,NRG3,EREG,ERBB4","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"ERBB2 ACTIVATES PTK6 SIGNALING",6
"REACTOME_INTERLEUKIN_1_SIGNALING",0.174019308322131,0.355604673527833,0.0354121781823754,0.456995092856634,1.20696967038962,98,"NLRC5,MYD88,CASP8,MAP3K8,IRAK2,USP18,NFKB2,IKBKG,IL1RN,PSMD7,IRAK4,NOD2,IRAK3,CHUK,PSMD2,IRAK1,MAP3K3,NOD1,RIPK2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"INTERLEUKIN 1 SIGNALING",19
"REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE",0.176365264100269,0.35729169882382,0.0575901868329747,-0.451973668347755,-1.21798338841566,33,"POLR2I,FGF1,POLR2L,PIK3R1,GAB1,POLR2F,HRAS,GTF2F1,POLR2E,POLR2J,GTF2F2,FGF2,FRS2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY FGFR2 IN DISEASE",13
"REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION",0.181232091690544,0.360928318197271,0.0430067286602703,0.657757802451287,1.28813766282423,14,"FYN,FARP2,PLXNA3,FES,PLXNA1,TLN1,PLXNA2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"SEMA3A PLEXIN REPULSION SIGNALING BY INHIBITING INTEGRIN ADHESION",7
"REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING",0.180031985378113,0.360928318197271,0.0493445172546303,-0.560167399107458,-1.26218649648235,15,"NRG2,NRG1,EGFR,HRAS,NRG3,EREG,ERBB4","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"GRB2 EVENTS IN ERBB2 SIGNALING",7
